Date,Close,EMA30,SMA30,SMA60,SMA200
2013-04-24,5011.606934,4890.804427235,4898.7119647241,4758.5625506207,
2013-04-25,4994.522949,4897.4959447683,4904.1976193448,4768.5209288448,
2013-04-26,4978.506836,4902.72245388,4910.8231244483,4777.8222573104,
2013-04-29,4999.751953,4908.9824215651,4917.0447704483,4787.2494444655,
2013-04-30,5034.070801,4917.0526395932,4925.0187231724,4797.2557837069,
2013-05-01,5060.918945,4926.3343367162,4933.2356884138,4807.2434588104,
2013-05-02,4994.045898,4930.702824541,4938.8407193793,4815.9241649655,4416.7685921225
2013-05-03,4925.48291,4930.3660558609,4943.0757846897,4823.6145441379,4419.3508983046
2013-05-06,4991.871094,4934.3341228376,4952.3417127586,4832.1127341379,4424.4616910558
2013-05-07,5042.789063,4941.3312157513,4961.475788069,4841.4168912759,4429.7059097564
2013-05-08,5089.334961,4950.8798444771,4969.9866817931,4851.7284062931,4435.138406731
2013-05-10,5105.937012,4960.8835327043,4976.1189218276,4862.1196121897,4440.8329087361
2013-05-13,5054.62793,4966.9315583363,4980.0376145862,4870.8503840173,4446.0864865736
2013-05-14,5081.939941,4974.351453992,4985.0157092759,4879.6499024655,4451.3376279594
2013-05-15,5089.879883,4981.8049010248,4989.5891198276,4883.2131224746,4456.4605100102
2013-05-16,5078.678223,4988.0547927652,4992.9412716552,4891.1604460339,4461.5216430711
2013-05-17,5145.683105,4998.2243612964,5000.6334187241,4900.2050782373,4466.8489897919
2013-05-20,5214.976074,5012.2083427612,5010.5957705517,4910.1709399322,4472.6041935787
2013-05-21,5188.758789,5023.5986941314,5020.638453069,4919.5659842881,4478.5887916498
2013-05-22,5207.999023,5035.4954895423,5031.2733533793,4929.3218353729,4484.760801731
2013-05-23,5121.402832,5041.0378987331,5039.6846545517,4937.2926791864,4490.4489424467
2013-05-24,5155.092773,5048.3962777181,5047.6442955517,4945.0721001864,4496.2881144975
2013-05-27,5085.13623,5050.7665972201,5052.7452013793,4952.2264301526,4501.3689485888
2013-05-28,5176.234863,5058.8613240447,5062.4570312414,4960.0199864915,4506.8365311726
2013-05-29,5200.692871,5068.0117464289,5067.0648925667,4966.8827628983,4512.2088964366
2013-05-30,5129.646973,5071.9882126593,5071.4313639333,4972.2731727288,4517.2808869391
2013-05-31,5068.62793,5071.7714202296,5073.2976888,4973.87908535,4522.2327441421
2013-06-03,4971.354004,5065.2928772471,5072.3941243333,4977.5399658833,4526.6568102132
2013-06-04,5021.611816,5062.4747442634,5073.2170898,4980.8221598833,4531.3071289594
2013-06-05,5001.221191,5058.5229021174,5074.0801269,4983.37084965,4535.9550533909
2013-06-07,4865.324219,5046.0584709485,5069.2040364,4983.21800135,4539.8871104213
2013-06-10,4777.365234,5028.7234234034,5061.9654459,4981.93555505,4543.1672896701
2013-06-11,4609.948242,5001.7056697645,5049.6801594333,4978.1773763333,4545.5448748325
2013-06-12,4697.883789,4982.1042581023,5039.6178873,4976.7026530167,4548.5669763756
2013-06-13,4607.663086,4957.9467631279,5025.4042968,4973.1749674667,4551.034524264
2013-06-14,4760.744141,4945.2240133132,5015.39847,4972.4736002833,4554.1754293452
2013-06-17,4774.503906,4934.2098128414,5008.0804036,4971.6715495,4557.2921607817
2013-06-18,4840.452148,4928.1609312387,5005.2460448667,4971.8207519667,4560.7327342234
2013-06-19,4806.655762,4920.3218880621,4999.0722004667,4971.8872477333,4564.0893679086
2013-06-20,4629.994141,4901.591065671,4985.3123697333,4970.3344970833,4566.5468106041
2013-06-21,4515.37207,4876.6737111115,4966.1802733667,4965.9590169333,4568.4377949949
2013-06-24,4429.459961,4847.8212111043,4943.6310383333,4959.0746989,4570.1448510305
2013-06-25,4418.87207,4820.1470729686,4922.4391763333,4950.58753255,4572.1412422081
2013-06-26,4587.728027,4805.1522958093,4905.9654458667,4944.6999023333,4574.818384198
2013-06-27,4675.749023,4796.8036975636,4892.1610838667,4940.3361328,4577.6498602437
2013-06-28,4818.89502,4798.2289441724,4883.5016437667,4938.0302001833,4581.2724089239
2013-07-01,4777.452148,4796.8885057096,4871.2272785333,4934.6299723167,4584.8363688071
2013-07-02,4728.704102,4792.4895119219,4855.0182128,4931.39819335,4588.0132579848
2013-07-03,4577.152832,4778.5968228947,4834.6313475667,4925.5829427,4590.2136317564
2013-07-04,4581.933105,4765.908841095,4813.7624836333,4920.3231445167,4592.3520731218
2013-07-05,4602.807129,4755.3861499921,4796.4759602,4915.3768147667,4594.623398868
2013-07-08,4433.625,4734.6273661217,4772.4270344333,4907.9793131333,4595.9407990305
2013-07-09,4403.799805,4713.2836525009,4749.7158202667,4899.3049234833,4597.1243556041
2013-07-10,4478.644043,4698.1456131783,4726.4627929333,4891.6621581833,4598.2494621827
2013-07-12,4633.10791,4693.9496323281,4692.9879949655,4887.3040934,4602.0871158878
2013-07-15,4635.729004,4690.1934627585,4678.0604457931,4881.2553629333,4604.0821060204
2013-07-16,4644.039063,4687.2157595483,4666.7737236897,4875.11204425,4606.2582435204
2013-07-17,4679.000977,4686.6857735774,4654.9595568276,4869.7877115667,4608.4744674133
2013-07-18,4720.435059,4688.8631468305,4645.2772764138,4865.1795816833,4611.1250847398
2013-07-19,4724.411133,4691.1565652931,4640.4182044828,4860.9975992667,4613.6634771021
2013-07-22,4678.98291,4690.3711681774,4637.0257105517,4855.4538655333,4616.2084762041
2013-07-23,4767.15918,4695.3252334563,4642.4467773793,4851.6644693833,4618.974472398
2013-07-24,4718.103027,4696.7947685236,4643.1439924828,4847.3244059,4621.2986662347
2013-07-25,4674.117188,4695.3316988124,4645.4355132414,4841.8971598167,4623.5324632704
2013-07-26,4658.874023,4692.9795906955,4641.9227505517,4835.6438801833,4625.5836630459
2013-07-29,4580.466797,4685.7207007796,4635.2318157586,4827.6363443833,4627.2620077755
2013-07-30,4608.48877,4680.737995568,4627.2330785862,4821.21039225,4628.9815375306
2013-07-31,4610.376953,4676.1985734669,4620.4648437931,4815.9586263,4630.507369102
2013-08-01,4624.335938,4672.8525969851,4620.2697333448,4809.8330403667,4632.3242113214
2013-08-02,4640.780762,4670.7834463409,4624.594171,4803.1329020167,4634.1636539847
2013-08-12,4597.779785,4666.073532706,4630.3983028621,4794.94031575,4635.7849295918
2013-08-13,4652.396973,4665.1911740153,4638.4508857241,4787.3813151,4637.6595733469
2013-08-14,4699.73291,4667.4196731111,4642.313123069,4781.4663981,4639.6409090459
2013-08-15,4685.128906,4668.5622042652,4642.6365673104,4774.85288085,4641.5368627857
2013-08-16,4568.653809,4662.1165013449,4634.0075600345,4766.1657796167,4642.7591976684
2013-08-19,4313.518066,4639.6262797097,4618.009833069,4753.4131103333,4642.6367088265
2013-08-20,4174.98291,4609.6492881156,4598.9159988621,4737.23477375,4641.7082245918
2013-08-21,4218.448242,4584.4105109468,4586.546875069,4720.62597655,4641.1326854898
2013-08-22,4171.413086,4557.765515789,4572.3910123448,4703.6702148333,4640.2655229031
2013-08-23,4169.827148,4532.7372339961,4557.4606681724,4686.36735025,4639.4475745765
2013-08-26,4120.668945,4506.1521830932,4546.669080069,4669.6884521333,4638.3521355204
2013-08-27,3967.842041,4471.4224965065,4531.6360537241,4649.9009399333,4636.4576927092
2013-08-28,4026.475098,4442.7162127319,4516.0440211379,4632.2565877333,4634.9021307908
2013-08-29,4103.592773,4420.8372811363,4502.2956462,4614.3792195667,4633.5704707296
2013-08-30,4195.088867,4406.272867321,4487.6950114333,4597.6191528333,4632.7786230306
2013-09-02,4101.23291,4386.5928700745,4469.8784749667,4580.47891845,4631.5840877959
2013-09-03,4164.012207,4372.2328272955,4453.8775797667,4565.4019897333,4630.6918434949
2013-09-04,4073.455078,4352.95684347,4433.6927164667,4550.4370076333,4629.5210073367
2013-09-05,4050.864014,4333.4669835042,4411.3736816333,4534.2578776,4628.1771240561
2013-09-06,4072.354004,4316.6209848265,4389.638444,4518.7767578167,4626.7584004643
2013-09-09,4191.257813,4308.5330382571,4373.3809407667,4507.5423177167,4626.0614088776
2013-09-10,4358.143066,4311.7336852082,4359.7470703,4500.5552815833,4626.1864238214
2013-09-11,4349.418945,4314.1649922916,4347.4576009,4496.2131266333,4626.3437101735
2013-09-12,4356.60498,4316.9030560147,4336.8738606333,4490.5251464833,4626.4688172959
2013-09-13,4375.539063,4320.6860242073,4327.4293619667,4486.6564127667,4626.592566699
